"comment","designator","footprint","LCSC Part"
"100nF","C4,C5,C6,C7,C9,C13,C18,C20,C21,C23,C28,C29,C30,C35,C36,C37","0402","C1525"
"10uF","C1,C2,C3,C10,C11,C12,C15,C16,C17,C27","1206","C13585"
"1uF","C8,C14,C19,C24","0402","C52923"
"10k","NTC1","RES-SMD","C13564"
"10k","R1,R10,R11,R13","0402","C25744"
"1uF","C25,C26","0603","C15849"
"MP2359","U6","TSOT-23-6","C14259"
"6.2k","R9","0603","C4260"
"33k","R8","0603","C4216"
"4.7uH","L1","SMD,3x3x1.2mm","C305275"
"100k","R7,R12","0402","C25741"
"1k","R17,R18","0603","C21190"
"LED","D3","LED_0603","C72043"
"LED","D2","0603","C2286"
"0.001","R14,R15","RES-SMD","C154629"
"SMAJ24A","D7","SMA,DO-214AC","C10769"
"100","R16,R21,R23,R24","0402","C25076"
"1nF","C31,C32","0402","C1523"
"2.2k","R2,R3","0603","C4190"
"1k","R4,R5,R6,R19,R20,R33,R34","0402","C11702"
"1R","R25,R26,R27,R35,R36,R37","0402","C25086"
"22nF","C22,C33,C34","0402","C1532"
"10","R28,R29,R30","0402","C25077"
"SN75176AD","U11","SOIC-8_3.9x4.9x1.27P","C7063"
"0","SB1","0402","C17168"
"0","R22,R31,R32","0603","C21189"
"BC807","Q7","SOT-23-3","C8326"
"16MHz","Y1","SMD-CRY-3225_4P","C13738"
"22p","C38,C39","0402","C1555"
